"Institute","Institute_standardized"
"Naturalis Biodivers Ctr, Marine Biodivers, POB 9517, NL-2300 RA Leiden, Netherlands","Naturalis Biodiversity Center - Marine Biodiversity"
"Nat Biodivers Ctr, Assoc Res Mollusca Collect, NL-2300 RA Leiden, Netherlands;","Naturalis Biodiversity Center - Mollusca Collection"
"Naturalis Biodivers Ctr, Taxon & Systemat Grp, POB 9517, NL-2300 RA Leiden, Netherlands;","Naturalis Biodiversity Center - Taxonomy and Systematics Group"
"Nat Museum Frankfurt, D-60325 Frankfurt, Germany.","Naturmuseum Senckenberg"
"Senckenberg Museum Nat Kunde Gorlitz, Museum 1, D-02826 Gorlitz, Germany.","Naturmuseum Senckenberg"
"Senckenberg Forschungsinst & Nat Museum Frankfurt, Senckenberganlage 25, D-60325 Frankfurt, Germany.","Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt"
"Senckenberg Forschungsinstitut und Naturmuseum Frankfurt","Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt"
"Natuurpunt","Natuurpunt"
"Nautilus Minerals Pacific Ltd, East Brisbane, Qld 4169, Australia.","Nautilus Minerals Pacific Ltd"
"Space &amp; Naval Warfare Syst Ctr Pacific, San Diego, CA 92152 USA.","Naval Information Warfare Center Pacific"
"Nelson Mandela Metropolitan Univ","Nelson Mandela University (NMU)"
"Nelson Mandela Metropolitan Univ, Dept Bot, ZA-6031 Port Elizabeth, South Africa.","Nelson Mandela University (NMU)"
"Nelson Mandela Metropolitan Univ, DST NRF Res Chair Shallow Water Ecosyst, ZA-6031 Port Elizabeth, South Africa.","Nelson Mandela University (NMU)"
"Nelson Mandela Univ, Dept Biochem & Microbiol, POB 77000 6031, Port Elizabeth, South Africa.","Nelson Mandela University (NMU)"
"Nelson Mandela Univ, Zool Dept, Port Elizabeth, South Africa.","Nelson Mandela University (NMU)"
"NMMU, Dept Zool, POB 77000, ZA-6031 Port Elizabeth, South Africa.","Nelson Mandela University (NMU) - Department of Zoology"
"Nelson Mandela Metropolitan Univ, Dept Zool, Coastal & Marine Res Unit, ZA-6031 Port Elizabeth, South Africa;","Nelson Mandela University (NMU) - Department of Zoology - Coastal & Marine Research Unit"
"NETAXIA Limited","NETAXIA Limited"
"Netherlands Food & Consumer Prod Safety Author, Ctr Monitoring Vectors, Geertjesweg 15, NL-6706 EA Wageningen, Netherlands.","Netherlands Food and Consumer Product Safety Authority (NVWA)"
"New England Aquarium","New England Aquarium"
"New England Aquarium, Res Dept, Boston, MA USA.","New England Aquarium"
"New England Aquarium, Anderson Cabot Ctr Ocean Life, Boston, MA 02110 USA.","New England Aquarium - Anderson Cabot Centre Ocean Life"
"New York State Museum, Albany","New York State Museum"
"Newcastle Univ, Sch Nat & Environm Sci, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England.","Newcastle University"
"Univ Newcastle, Ctr Water Climate & Land CWCL, Newcastle, NSW, Australia.","Newcastle University"
"Univ Newcastle, GG03 Earth Sci Bldg,Univ Dr, Callaghan, NSW 2308, Australia.","Newcastle University"
"Nat Hist Museum, London, England;","NHM (Natural History Museum)"
"Natural History Museum","NHM (Natural History Museum)"
"Natural History Museum (NHM)","NHM (Natural History Museum)"
"Natural History Museum of London","NHM (Natural History Museum)"
"Dep. Earth Sciences, Natural History Museum (NHM), London","NHM (Natural History Museum) - Earth Sciences Department "
"*Williams, D.M.: Department of Life Sciences, the Natural History Museum, Cromwell Road, London, SW7 5BD, U. K.","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum, Dept Life Sci, Cromwell Rd, London SW7 5BD, England","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum, Dept Life Sci, Cromwell Rd, London SW7 5BD, England;","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum, Dept Life Sci, London SW7 5BD, England;","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum, Dept Life Sci, London, England;","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum, London SW7 5BD, England;","NHM (Natural History Museum) - Life Sciences Department "
"Nat Hist Museum Angeles Co","NHM Natural History Museum of Los Angeles County"
"Nat Hist Museum Angeles Co, Malacol Dept, 900 Exposit Blvd, Los Angeles, CA 90007 USA;","NHM Natural History Museum of Los Angeles County"
"Nat Hist Museum Los Angeles Cty","NHM Natural History Museum of Los Angeles County"
"Nat Hist Museum Los Angeles Cty, Res & Collect Branch, Los Angeles, CA 90007 USA;","NHM Natural History Museum of Los Angeles County"
"Natural History Museum of Los Angeles County","NHM Natural History Museum of Los Angeles County"
"Marine Biodiversity Center, Natural History Museum, Los Angeles","NHM Natural History Museum of Los Angeles County - Marine Biodiversity Center"
"Nationaal Instituut voor Criminalistiek en Criminologie (NICC)","NICC (National Institute for Criminalistics and Criminology)"
"Caribbean Netherlands Science Institute - NIOZ","NIOZ Royal Netherlands Institute for Sea Research"
"Netherlands Institute for Sea Research (NIOZ-Yerseke)","NIOZ Royal Netherlands Institute for Sea Research"
"NIOZ","NIOZ Royal Netherlands Institute for Sea Research"
"NIOZ Royal Netherlands Inst Sea Res","NIOZ Royal Netherlands Institute for Sea Research"
"Royal Netherlands Inst Sea Res NIOZ","NIOZ Royal Netherlands Institute for Sea Research"
"Royal Netherlands Inst Sea Res NIOZ, Monitor Taskforce, Yerseke, Netherlands;","NIOZ Royal Netherlands Institute for Sea Research"
"Royal Netherlands Institute for Sea Research (NIOZ)","NIOZ Royal Netherlands Institute for Sea Research"
"Royal Netherlands Inst Sea Res NIOZ, Dept Marine Ecol, NL-1790 AB Den Burg, Netherlands;","NIOZ Royal Netherlands Institute for Sea Research - Department of Marine Ecology"
"National Centers for Environmental Information < NOAA","NOAA National Oceanic And Atmospheric Administration"
"National Oceanic and Atmospheric Administration","NOAA National Oceanic And Atmospheric Administration"
"National Oceanic And Atmospheric Administration (NOAA)","NOAA National Oceanic And Atmospheric Administration"
"Natl Atmospher & Ocean Adm, Natl Marine Fisheries Serv, Silver Spring, MD 20910 USA.","NOAA National Oceanic And Atmospheric Administration"
"NOAA","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Atlantic Oceanog & Meteorol Lab, Ocean Chem & Ecosyst Div, 4301 Rickenbacker Causeway, Miami, FL 33149 USA;","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Conservat Biol Div, Northwest Fisheries Sci Ctr, Natl Marine Fisheries Serv, 2725 Montlake Blvd E, Seattle, WA 98112 USA.","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Natl Marine Fisheries Serv, SW Fisheries Sci Ctr, Marine Mammal & Turtle Div, 8901 La Jolla Shores Dr, La Jolla, CA 92037 USA;","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Northwest Fisheries Sci Ctr, 2725 Montlake Blvd, Seattle, WA 98112 USA.","NOAA National Oceanic And Atmospheric Administration"
"NOAA, NRC Res Associate, Northwest Fisheries Sci Ctr, Seattle, WA 98112 USA.","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Ocean Acidificat Program, Off Ocean & Atmospher Res, Seattle, WA 98115 USA;","NOAA National Oceanic And Atmospheric Administration"
"NOAA, Ocean Associates Inc, Southwest Fisheries Sci Ctr, Natl Marine Fisheries Serv, La Jolla, CA USA.","NOAA National Oceanic And Atmospheric Administration"
"NOAA, POB 7390, Pago Pago, AS USA.","NOAA National Oceanic And Atmospheric Administration"
"US Natl Ocean & Atmospher Adm, Ecosyst Sci Div, Pacific Isl Fisheries Sci Ctr, Natl Marine Fisheries Serv, Honolulu, HI 96818 USA.","NOAA National Oceanic And Atmospheric Administration"
"National Oceanic and Atmospheric Administration (NOAA); Center for Coastal Environmental Health and Biomolecular Research","NOAA National Oceanic and Atmospheric Administration - Center for Coastal Environmental Health and Biomolecular Research"
"NOAA, Conservat Biol Div, Northwest Fisheries Sci Ctr, Natl Marine Fisheries Serv, Mukilteo, WA 98275 USA.","NOAA National Oceanic and Atmospheric Administration - Conservation Biology Division - Northwest Fisheries Science Center"
"National Oceanic and Atmospheric Administration (NOAA); Marine Ecosystems Division","NOAA National Oceanic and Atmospheric Administration - Marine Ecosystems Division"
"NOAA-NCEI","NOAA National Oceanic And Atmospheric Administration - NCEI National Centers for Environmental Information"
"NOAA OER","NOAA National Oceanic And Atmospheric Administration - OER Office of Ocean Exploration and Research"
"Natl Ocean &amp; Atmospher Adm, SW Fisheries Sci Ctr, Fisheries Ecol Div, Santa Cruz, CA USA.","NOAA National Oceanic And Atmospheric Administration - Southwest Fisheries Science Center (SWFSC)"
"Natl Marine Fisheries Serv, Northeast Fisheries Sci Ctr, Woods Hole, MA 02543 USA.","NOAA National Oceanic And Atmospheric Administration - Woods Hole Laboratory - Northeast Fisheries Science Center"
"NOAA, NMFS, Northeast Fisheries Sci Ctr, Narragansett Lab, 28 Tarzwell Dr, Narragansett, RI 02818 USA.","NOAA National Oceanic And Atmospheric Administration - Woods Hole Laboratory - Northeast Fisheries Science Center"
"Noakhali Sci & Technol Univ, Res Cell, Sonapur 3814, Noakhali, Bangladesh.","Noakhali Science and Technology University"
"National Oceanography Centre (NOC)","NOC (National Oceanography Centre)"
"Natl Oceanog Ctr","NOC (National Oceanography Centre)"
"Natl Oceanog Ctr, European Way, Southampton SO14 3ZH, Hants, England;","NOC (National Oceanography Centre)"
"Natl Oceanog Ctr, Southampton SO14 3ZH, Hants, England;","NOC (National Oceanography Centre)"
"Univ Southampton, Natl Oceanog Ctr Southampton, Sch Ocean & Earth Sci, European Way, Southampton SO14 3ZH, Hants, England;","NOC (National Oceanography Centre)"
"Univ Southampton, Natl Oceanog Ctr Southampton, Southampton SO14 3ZH, Hants, England;","NOC (National Oceanography Centre)"
"Nord Univ","Nord University"
"Benthos Ecology Research Unit, Ecology Division, Nord University","Nord University - Department of Ecology - Benthos Ecology Research unit"
"Nord Univ, Fac Biosci & Aquaculture, N-8049 Bodo, Norway;","Nord University - Faculty of Bioscience and Aquaculture"
"Nord Univ, Fac Biosci & Aquaculture, POB 614, NO-8622 Mo I Rana, Norway.","Nord University - Faculty of Bioscience and Aquaculture"
"Normandy Coastal Monitoring Survey","Normandy Coastal Monitoring Survey"
"North Carolina Museum Nat Sci","North Carolina Museum of Natural Sciences"
"North Carolina Museum Nat Sci, Geol Paleontol, 11 West Jones St, Raleigh, NC 27601 USA;","North Carolina Museum of Natural Sciences"
"Northeastern Univ, Ctr Marine Sci, Dept Marine & Environm Sci, Nahant, MA 01908 USA.","Northeastern University"
"Northern Arctic Fed Univ","Northern Arctic Federal University"
"Northern Arctic Fed Univ, Arkhangelsk, Russia;","Northern Arctic Federal University"
"Northern Terr Govt","Northern Territory Government"
"Northern Territory Government","Northern Territory Government"
"Natl Marine Sci Ctr, Fisheries Conservat Technol Unit, NSW Dept Primary Ind, POB 4321, Coffs Harbour, NSW 2450, Australia;","Northern Territory Government - Department of Primary Industry and Resources - National Marine Science Centre - Fisheries Conservation Technology Unit"
"Northern Terr Govt, Dept Primary Ind & Resources, Aquaculture Unit, GPO Box 3000, Darwin, NT 0801, Australia;","Northern Territory Government - Department of Primary Industry and Resources - National Marine Science Centre - Fisheries Conservation Technology Unit"
"*Taylor, J.: North-West University, Private Bag X 6001, Potchefstroom 2520, South Africa","North-West University (NWU)"
"North West Univ","North-West University (NWU)"
"North West Univ, Unit Environm Sci & Management, ZA-2520 Potchefstroom, South Africa.","North-West University (NWU)"
"North-West University","North-West University (NWU)"
"North West Univ, Unit Environm Sci &amp; Management, ZA-2520 Potchefstroom, South Africa.","North-West University (NWU) - Environmental Science and Management"
"School of Biological Sciences, North West University","North-West University (NWU) - School of Biological Sciences"
"North West Univ, Unit Environm Sci & Management, Water Res Grp Ecol, ZA-2520 Potchefstroom, South Africa;","North-West University (NWU) - Unit Environmental Science & Management - Water Ecology Research Group"
"Northwest University","Northwest University of China"
"Norwegian Institute for Nature Research (NINA)","Norwegian Institute for Nature Research (NINA)"
"NIVA, Fram Ctr, Hjalmar Johansens Gate 14, NO-9007 Tromso, Norway.","Norwegian Institute for Water Research (NIVA)"
"Norwegian Polar Res Inst, Fram Ctr, Res Dept, Hjalmar Johansens Gate 14, N-9009 Tromso, Norway.","Norwegian Polar Institute"
"Norwegian Polar Res Inst, N-9171 Longyearbyen, Svalbard, Norway.","Norwegian Polar Institute"
"Norwegian Radiat Protect Author","Norwegian Radiation Protection Authority"
"Norwegian Radiat Protect Author, Grini Naeringspk 13, N-1361 Osteras, Norway;","Norwegian Radiation Protection Authority"
"Norwegian Univ Sci & Technol","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol NTNU","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol NTNU, Ind Ecol Programme, Sem Saelands Vei 7, NO-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol, Dept Biotechnol, N-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol, NTNU Univ Museum, NO-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol, Trondheim Biol Stn, Dept Biol, N-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU)"
"Norwegian University of Science and Technology (NTNU)","Norwegian University of Science and Technology (NTNU)"
"Norwegian Univ Sci & Technol NTNU, Dept Biol, Ctr Autonomous Marine Operat & Syst AMOS, N-7491 Trondheim, Norway;","Norwegian University of Science and Technology (NTNU) - Department of Biology - Centre of Autonomous Marine Operations & Systems (AMOS)"
"Norwegian Univ Sci &amp; Technol, Trondheim Biol Stn, Dept Biol, N-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU) - Department of Biology - Trondheim Biology station"
"Norwegian Univ Sci &amp; Technol, Dept Biotechnol, N-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU) - Department of Biotechnology"
"Department of Energy and Process Engineering, Faculty of Engineering, NTNU, Trondheim","Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme"
"Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology (NTNU)","Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme"
"OceanCertain - Norwegian University of Science and Technology (NTNU), Trondheim","Norwegian University of Science and Technology (NTNU) - OceanCertain"
"Norwegian Univ Sci &amp; Technol, NTNU Univ Museum, NO-7491 Trondheim, Norway.","Norwegian University of Science and Technology (NTNU) - University Museum"
"Nova SE Univ, Oceanog Ctr, Natl Coral Reef Inst, Dania, FL 33004 USA.","Nova Southeastern University"
"Nova Southeastern Univ, Halmos Coll Arts & Sci, Ft Lauderdale, FL 33314 USA.","Nova Southeastern University"
"Nova Southeastern University","Nova Southeastern University"
"Novosibirsk State Univ, Novosibirsk 630090, Russia.","Novosibirsk State University (NSU)"
"Nuarro Ecolodge","Nuarro Ecolodge"
"Nuarro Ecolodge, SeaLife Res Ctr, Memba, Nampula Provinc, Mozambique;","Nuarro Ecolodge"
"Obafemi Awolowo Univ, Dept Microbiol, Ife, Nigeria.","Obafemi Awolowo University"
"Ocean Biogeographic Information System (OBIS)","OBIS Ocean Biogeographic Information System"
"Deep Sea Node, Frankfurt, Germany.","OBIS Ocean Biogeographic Information System - Deep Sea node"
"Stichting observation international","observation international"
"OAG - Observatorio Ambiental Granadilla","Observatorio Ambiental Granadilla (OAG)"
"Ocean Conservancy, 23834 Clearing Dr, Eagle River, AK 99577 USA.","Ocean Conservancy"
"Ocean Ecology","Ocean Ecology"
"Ocean Genome Legacy","Ocean Genome Legacy Center (OGL)"
"Ocean Health Index","Ocean Health Index"
"Ocean Univ China","Ocean University of China"
"Ocean Univ China, Inst Evolut & Marine Biodivers, 5 Yushan Rd, Qingdao 266003, Peoples R China.","Ocean University of China"
"Ocean University of China","Ocean University of China"
"Ocean Univ China, Coll Marine Life Sci, Qingdao 266003, Peoples R China;","Ocean University of China - College of Marine Life Sciences"
"Ocean Univ China, Key Lab Mariculture, Minist Educ, Qingdao 266003, Peoples R China.","Ocean University of China - Key Lab Mariculture"
"Ocean Univ China, Sch Med & Pharm, Chinese Minist Educ, Key Lab Marine Drugs, Qingdao 266003, Peoples R China;","Ocean University of China - School of Medicine and Pharmacy"
"Ocean Univ China, Sch Med & Pharm, Key Lab Marine Drugs, Chinese Minist Educ, Yushan Rd 5, Qingdao 266003, Peoples R China;","Ocean University of China - School of Medicine and Pharmacy"
"Oceana","Oceana"
"OceanCare","OceanCare"
"Oceanic Society","Oceanic Society"
"Inst Oceanog Venezuela","Oceanographic Institute of Venezuela"
"Inst Oceanog Venezuela Postgrad Ciencias Marinas, Caracas, Venezuela.","Oceanographic Institute of Venezuela"
"Oceanog Res Inst","Oceanographic Research Institute (ORI)"
"Oceanog Res Inst, Durban, South Africa.","Oceanographic Research Institute (ORI)"
"Oceanog Res Inst, ZA-4056 Durban, South Africa.","Oceanographic Research Institute (ORI)"
"Oceans Research","Oceans Research"
"Ochanomizu Univ","Ochanomizu University"
"Ochanomizu Univ, Marine & Coastal Res Ctr, Tateyama, Chiba 2940301, Japan.","Ochanomizu University"
"Ochanomizu Univ, Marine &amp; Coastal Res Ctr, Tateyama, Chiba 2940301, Japan.","Ochanomizu University - Marine & Coastal research centre"
"Office de l'Environnement de la Corse","Office de l'Environnement de la Corse"
"Ohio State University","Ohio State University"
"Ohio Univ, Dept Geol Sci, Athens, OH 45701 USA.","Ohio University"
"Ohio University","Ohio University"
"Okinawa Inst Sci & Technol Grad Univ","Okinawa Institute of Science and Technology Graduate University"
"Okinawa Inst Sci & Technol Grad Univ, Marine Genom Unit, Onna, Okinawa, Japan.","Okinawa Institute of Science and Technology Graduate University"
"Okinawa Inst Sci &amp; Technol Grad Univ, Marine Genom Unit, Onna, Okinawa, Japan.","Okinawa Institute of Science and Technology Graduate University - Marine Genomics Unit"
"Old Dominion University","Old Dominion University"
"Oncaeidae Taxonomy","Oncaeidae Taxonomy"
"Ondokuz Mayis Univ, Dept Aquat Anim Dis, Fac Vet Med, Samsun, Turkey.","Ondokuz Mayıs University"
"Onsekiz Mart Univ","Onsekiz Mart University"
"Onsekiz Mart Univ, Fac Marine Sci & Technol, TR-17100 Canakkale, Turkey","Onsekiz Mart University - Faculy of Marine Science & Technology"
"Oregon State Univ","Oregon State University"
"Oregon State Univ, Coll Earth Ocean & Atmospher Sci, Corvallis, OR 97331 USA.","Oregon State University"
"Oregon State Univ, Dept Fisheries & Wildlife, Corvallis, OR 97331 USA;","Oregon State University"
"Oregon State Univ, Dept Fisheries &amp; Wildlife, Corvallis, OR 97331 USA.","Oregon State University"
"Oregon State Univ, Dept Integrat Biol, 3029 Cordley Hall, Corvallis, OR 97331 USA;","Oregon State University"
"Oregon State Univ, Hatfield Marine Sci Ctr, Newport, OR 97365 USA.","Oregon State University"
"Oregon State University","Oregon State University"
"Marine Serv, Harbour Author Bldg, Scapa KW15 1SD, Orkney, Scotland.","Orkney Islands Council Marine Services"
"Ørsted","Ørsted"
"Osaka University - Faculty of science - Department of Biological Sciences","Osaka University - Faculty of science - Department of Biological Sciences"
"OSPAR commission","OSPAR commission"
"Fundacao Oswaldo Cruz","Oswaldo Cruz Foundation"
"Fundacao Oswaldo Cruz, Lab Nacl & Int Referencia Taxon Triatomineos, Inst Oswaldo Cruz, Rio De Janeiro, RJ, Brazil.","Oswaldo Cruz Foundation"
"Inst Oswaldo Cruz, Lab Avaliacao & Promocao Saude Ambiental, Av Brasil 4-365, BR-21040360 Manguinho, RJ, Brazil.","Oswaldo Cruz Foundation"
"Oswaldo Cruz Inst, Lab Evaluat & Promot Environm Hlth, Rio De Janeiro, Brazil.","Oswaldo Cruz Foundation"
"Fundacao Oswaldo Cruz, Lab Biodiversidade Entomol, Inst Oswaldo Cruz, Rio De Janeiro, RJ, Brazil;","Oswaldo Cruz Foundation - Oswaldo Cruz Institute - Biodiversity and Entomology Lab"
"Canadian National Collection of Insects, Arachnids & Nematodes","Ottawa Research and Development Centre - Canadian National Collection of Insects, Arachnids & Nematodes"
"Our Lady of the Lake University","Our Lady of the Lake University"
"Oxford Brookes Univ, Dept Biol & Med Sci, Stem Cell Biol & Evolut, Headington Campus, Oxford OX3 0BP, England.","Oxford Brookes University"
"Pacific Community","Pacific Community"
"PacNet","PacNet"
"Palau Int Coral Reef Ctr, 1-M Dock Rd, Koror 96940, Palau.","Palau International Coral Reef Center"
"Paleontol Res Inst","Paleontological Research Institution"
"Paleontol Res Inst, 1259 Trumansburg Rd, Ithaca, NY 14850 USA;","Paleontological Research Institution"
"Parc naturel Haute-Sûre Forêt d'Anlier","Parc naturel Haute-Sûre Forêt d'Anlier"
"Parc naturel Hautes Fagnes-Eifel","Parc naturel Hautes Fagnes-Eifel"
"Univ Corse, UMR SPE CNRS, UMS Stella Mare CNRS, F-20250 Corte, France.","Pascal Paoli University of Corsica"
"Pascal Paoli University of Corsica","Pascal Paoli University of Corsica"
"Patuakhali Sci & Technol Univ","Patuakhali Science & Technology University"
"Patuakhali Sci & Technol Univ, Dept Fisheries Management, Patuakhali, Bangladesh;","Patuakhali Science & Technology University - Deparmtent of Fisheries Management"
"Univ Paul Sabatier","Paul Sabatier University (Toulouse III)"
"Univ Toulouse 3","Paul Sabatier University (Toulouse III)"
"Univ Toulouse 3, GET Geosci Environm Toulouse, CNRS, IRD,OMP, F-31400 Toulouse, France;","Paul Sabatier University (Toulouse III)"
"Univ Toulouse II, TRACES, UMR 5608, Toulouse, France.","Paul Sabatier University (Toulouse III)"
"Univ Paul Valery Montpellier","Paul Valéry University"
"Peking Univ, Sch Pharmaceut Sci, State Key Lab Nat & Biomimet Drugs, Beijing 100191, Peoples R China.","Peking University"
"Penn State Univ","Penn State University"
"Penn State Univ, Dept Biol, Mueller Lab 208, State Coll, PA 16802 USA;","Penn State University"
"Peruvian Centre for Cetacean Research /Centro Peruano de Estudios Cetológicos (CEPEC)","Peruvian Centre for Cetacean Research (CEPEC)"
"Petrobras, Rio de Janeiro","Petrobras"
"Botanic Garden Meise","Plantentuin Meise"
"plantentuinmeise","Plantentuin Meise"
"jardinbotaniquemeise","Plantentuin Meise"
"Meise Botanic Garden","Plantentuin Meise"
"Meise Botanic Garden, Research Department","Plantentuin Meise"
"Plantentuin Meise","Plantentuin Meise"
"*Van de Vijver, B.: Botanic Garden Meise, Department of Bryophyta & Thallophyta, Nieuwelaan 38, B-1860, Belgium and Department of Biology-ECOBE, University of Antwerp, Universiteitsplein 1, B-2610 Wilrijik, Belgium","Plantentuin Meise - Department of Bryophyta and Thallophyta"
"Department of Bryophyta and Thallophyta, Botanic Garden Meise","Plantentuin Meise - Department of Bryophyta and Thallophyta"
"Plymouth Marine Lab, Plymouth PL1 3DH, Devon, England.","Plymouth Marine Laboratory (PML)"
"PlymouthMarine Lab, Plymouth PL1 3DH, Devon, England.","Plymouth Marine Laboratory (PML)"
"Plymouth Marine Lab","PML (Plymouth Marine Laboratory)"
"Plymouth Marine Lab, Citadel Hill, Plymouth PL1 3DH, Devon, England;","PML (Plymouth Marine Laboratory)"
"Plymouth Marine Lab, Prospect Pl, Plymouth PL1 3DH, Devon, England;","PML (Plymouth Marine Laboratory)"
"Plymouth Marine Laboratory","PML (Plymouth Marine Laboratory)"
"Polish Academy of Sciences - Institute of Geography and Spatial Organization","Polish Academy of Sciences - Institute of Geography and Spatial Organization"
"Polish Academy of Sciences - Institute of Hydroengineering","Polish Academy of Sciences - Institute of Hydroengineering"
"Inst Oceanol Polish Acad Sci IOPAN, Powstancow Warszawy 55, PL-81712 Sopot, Poland.","Polish Academy of Sciences - Institute of Oceanology of the Polish Academy of Sciences (IOPAN)"
"Institute of Oceanology of the Polish Academy of Sciences (IOPAN)","Polish Academy of Sciences - Institute of Oceanology of the Polish Academy of Sciences (IOPAN)"
"Polish Acad Sci, Inst Oceanol, PL-81712 Sopot, Poland;","Polish Academy of Sciences - Institute of Oceanology of the Polish Academy of Sciences (IOPAN)"
"Polish Acad Sci, Inst Oceanol, Marine Ecol Dept, PL-81712 Sopot, Poland;","Polish Academy of Sciences - Institute of Oceanology of the Polish Academy of Sciences (IOPAN) - Marine Ecology Department"
"Polish Acad Sci, Inst Paleobiol, PL-00818 Warsaw, Poland;","Polish Academy of Sciences - Institute of Paleobiology"
"Polish Acad Sci, Museum Earth Warsaw, Al Na Skatpie 20-26, PL-00488 Warsaw, Poland","Polish Academy of Sciences - Museum of Earth"
"Polish Acad Sci","Polish Academy of Sciences (PAN)"
"Polish Acad Sci, Inst Oceanol, Marine Ecol Dept, PL-81712 Sopot, Poland.","Polish Academy of Sciences (PAN)"
"Polish Acad Sci, Inst Oceanol, Marine Ecol Dept, Sopot, Poland.","Polish Academy of Sciences (PAN)"
"Polish Acad Sci, Inst Oceanol, PL-81712 Sopot, Poland.","Polish Academy of Sciences (PAN)"
"Polish Acad Sci, Inst Oceanol, Ul Powstancow Warszawy 55, Sopot, Poland.","Polish Academy of Sciences (PAN)"
"Polish Acad Sci, Inst Paleobiol, Warsaw, Poland.","Polish Academy of Sciences (PAN)"
"Polish Government - Ministry of Funds and Regional Policy","Polish Government - Ministry of Funds and Regional Policy"
"Universitat Politècnica de Catalunya","Polytechnic University of Catalonia "
"The Polytechnic University of Catalonia (UPC)","Polytechnic University of Catalonia "
"POMC Consulting (One World Analytics), Lancaster","POMC Consulting (One World Analytics), Lancaster"
"Pondicherry Univ","Pondicherry University"
"Pondicherry Univ, Dept Ocean Studies & Marine Biol, Brookshabad Campus, Port Blair 744112, Andaman Islands, India.","Pondicherry University"
"Pondicherry Univ, Sch Life Sci, Dept Microbiol, Pondicherry, India;","Pondicherry University - School of Life Sciences - Department of Microbiology"
"Pontifical Catholic Univ Rio Grande do Sul PUCRS","Pontifical Catholic University of Rio Grande do Sul (PUCRS)"
"Pontifical Catholic Univ Rio Grande do Sul PUCRS, Fac Informat, Comp Sci Grad Program, Business Intelligence Res Grp, BR-90619900 Porto Alegre, RS, Brazil.","Pontifical Catholic University of Rio Grande do Sul (PUCRS)"
"Pontifical Catholic Univ Rio Grande do Sul PUCRS, Fac Informat, Comp Sci Grad Program, Business Intelligence Res Grp, BR-90619900 Porto Alegre, RS, Brazil","Pontifical Catholic University of Rio Grande do Sul (PUCRS) - Faculty of Informatics - School of Computer Science - Business Intelligence research group"
"Pontificia Univ Catolica Chile","Pontificia Universidad Católica de Chile"
"Pontificia Univ Catolica Valparaiso, Escuela Ciencias del Mar, Valparaiso 2340000, Chile.","Pontificia Universidad Católica de Chile"
"Pontificia Univ Catolica Chile, Estac Costera Invest Marinas, Santiago, Chile;","Pontificia Universidad Católica de Chile - Coastal Station for Marine Research"
"Port of Antwerp","Port of Antwerp"
"Inst Portugues Mar & Atmosfera","Portuguese Institute for Sea and Atmosphere (IPMA)"
"Inst Portugues Mar & Atmosfera IP IPMA","Portuguese Institute for Sea and Atmosphere (IPMA)"
"Inst Portugues Mar & Atmosfera IP IPMA, Rua Alfredo Magalhaes Ramalho 6, P-1495006 Lisbon, Portugal.","Portuguese Institute for Sea and Atmosphere (IPMA)"
"Inst Portugues Mar & Atmosfera, P-1449006 Lisbon, Portugal","Portuguese Institute for Sea and Atmosphere (IPMA)"
"Inst Portugues Mar &amp; Atmosfera IP IPMA, Rua Alfredo Magalhaes Ramalho 6, P-1495006 Lisbon, Portugal.","Portuguese Institute for Sea and Atmosphere (IPMA)"
"IPMA, Rua Alfredo Magalhaes Ramalho 6, P-1449006 Lisbon, Portugal.","Portuguese Institute for Sea and Atmosphere (IPMA)"
"Portuguese Inst Sea & Atmosphere IPMA, Ave 5 Outubro, P-8700305 Olhao, Portugal.","Portuguese Institute for Sea and Atmosphere (IPMA)"
